Player,Pos,height_inches,season_end_year,Tm,MP,TRB%,ORB%,DRB%,TRB%_z,ORB%_z,DRB%_z,frontcourt_trb,is_sg,expected_combine_year,combine_player_name,combine_year,wingspan_inches,combine_year_gap,wingspan_minus_height
Tyrone Wallace,PG,77.0,2018,LAC,851.0,6.8,2.7,10.7,0.0453914920285443,0.1073470900735116,-0.0346693580937948,21.80387409200969,0,2017,,,,,
VJ Edgecombe,SG,76.0,2026,PHI,2623.0,8.8,5.0,12.7,0.5823140354058834,0.8659630701107439,0.3194790048938086,12.09763941156346,1,2025,VJ Edgecombe,2025.0,79.5,0.0,3.5
Vasilije MiciÄ,PG,75.0,2024,2TM,1176.0,4.2,1.3,7.1,-0.8413459789437272,-0.440402685857562,-0.771730596477506,11.171504715047153,0,2023,,,,,
Victor Oladipo,PG,75.0,2014,ORL,2487.0,7.5,1.9,13.1,0.2323050010318402,-0.1063574123728691,0.6550962978510464,16.21627525942108,0,2013,Victor Oladipo,2013.0,81.25,0.0,6.25
Walter Clayton,PG,76.0,2026,2TM,1410.0,5.3,1.9,8.9,-0.5766796948833683,-0.5655916072372464,-0.3793127016866351,14.939169675090254,0,2025,Walter Clayton Jr.,2025.0,76.0,0.0,0.0
Wayne Ellington,SG,76.0,2010,MIN,1384.0,6.4,2.6,10.4,0.0809213462275327,0.0998503167729271,0.1092088751004131,18.256882930332775,1,2009,Wayne Ellington,2009.0,78.5,0.0,2.5
Wesley Matthews,SG,77.0,2010,UTA,2025.0,5.6,3.0,8.0,-0.2839039077479141,0.3293351523879672,-0.5698849017092142,17.146,1,2009,,,,,
Will Barton,SG,77.0,2013,POR,894.0,9.4,4.6,14.3,1.209017732212686,0.9444483138674884,1.1366841354768822,17.044025034226483,1,2012,Will Barton,2012.0,81.75,0.0,4.75
Will Richard,SG,75.0,2026,GSW,1377.0,7.0,5.3,8.7,-0.0137398830285889,1.0045006195315171,-0.4160912125592903,10.94356617647059,1,2025,,,,,
Zach LaVine,PG,77.0,2015,MIN,1902.0,6.4,1.6,11.6,0.0882381701347236,-0.4658021058262223,0.46206181918639,15.29183673469388,0,2014,Zach LaVine,2014.0,80.25,0.0,3.25
Å arÅ«nas JasikeviÄius,PG,76.0,2006,IND,1557.0,5.7,1.5,9.6,-0.3124010258776978,-0.5494309810516622,-0.1344353697372949,17.863819095477382,0,2005,,,,,
