Player,Pos,height_inches,season_end_year,Tm,MP,TRB%,ORB%,DRB%,TRB%_z,ORB%_z,DRB%_z,frontcourt_trb,is_sg
Buddy Hield,SG,76.0,2017,2TM,1888.0,7.8,2.0,13.5,0.3054681032063955,-0.09084458108636814,0.3747464985409234,15.226396562308164,1
C.J. Williams,SG,77.0,2018,LAC,707.0,4.4,1.9,6.7,-0.6582740410491492,-0.19498249226217998,-0.7350369276395815,21.803874092009686,1
Caleb Love,SG,75.0,2026,POR,1013.0,6.1,2.6,9.7,-0.3117668422458252,-0.24233732525544213,-0.23219865819601557,14.779647668393784,1
Cam Thomas,SG,75.0,2022,BRK,1176.0,7.5,1.5,13.1,0.29399003697072473,-0.4548714380791675,0.47096558351052653,10.432180358245832,1
Cameron Payne,PG,74.0,2016,OKC,698.0,6.6,1.5,11.2,0.121903929801745,-0.4158334306430805,0.1634002417388552,12.849268941072221,0
Cason Wallace,SG,75.0,2024,OKC,1692.0,6.2,3.6,8.6,-0.3079328026114355,0.04450878208134939,-0.5007304099706013,11.21188524590164,1
Cedric Coward,SG,77.0,2026,MEM,1598.0,12.3,5.5,19.4,1.741307765695135,1.0968589858120328,1.5515591191277494,11.90925925925926,1
Charles Jenkins,PG,75.0,2012,GSW,893.0,4.3,1.0,7.6,-0.9315473980721092,-0.7498633457353598,-0.7498107301457428,13.836637931034483,0
Chris Duarte,SG,77.0,2022,IND,1541.0,8.2,2.9,13.6,0.5461805426185972,0.21958393002651455,0.579599164006774,13.437118126272912,1
Coby White,PG,76.0,2020,CHI,1674.0,7.6,1.8,14.0,0.4040540442158188,-0.3119916171605984,0.7201115866497877,11.238760947129421,0
Cole Anthony,PG,74.0,2021,ORL,1273.0,9.0,3.0,15.4,0.8293693624716796,0.2544742895940533,0.9865983096662041,12.47518837459634,0
Collin Sexton,PG,75.0,2019,CLE,2605.0,5.0,2.3,8.0,-0.5403588395381538,-0.0017610356366195197,-0.5504921176896903,18.38085532910124,0
