Player,model_a_predicted_z,model_a_residual_z,model_a_residual_pct,model_b_predicted_z,model_b_residual_z,model_b_residual_pct,target
Jaylen Clark,0.11874793523558314,0.54639216313888,81.875,0.1444608269841133,0.5206792713903498,82.5,ORB%
Jeff Teague,-0.10040101577651273,-0.8324304277182405,3.125,-0.029073538274769592,-0.9037579052199837,3.75,ORB%
Jeremiah Fears,0.01697534741312004,-0.07459594010753115,51.87500000000001,-0.05714914024117835,-0.0004714524532327541,56.25,ORB%
Jerian Grant,0.019497009228248624,-0.09505258246466672,49.375,0.048300474629118864,-0.12385604786553696,48.75,ORB%
Jerryd Bayless,-0.10469824247169082,-0.4448989994879462,24.375,-0.260080503906237,-0.2895167380534,33.125,ORB%
Jodie Meeks,0.06007080423708647,-0.6486749943092798,11.875,-0.13024267723923694,-0.4583615128329564,20.0,ORB%
John Jenkins,0.07834110259150755,-0.14120571236342325,45.625,0.10138769956380016,-0.16425230933571586,43.125,ORB%
John Wall,0.06176487086526104,-0.5340146648386163,19.375,0.19576993035530388,-0.6680197243286591,11.25,ORB%
Jordan Clarkson,0.11427059746798271,0.7271783678955156,90.625,0.12401975660448317,0.7174292087590152,91.25,ORB%
Jordan Crawford,0.08845681193363521,0.3599557975694057,76.25,0.026882809443863925,0.42152980005917695,77.5,ORB%
Jordan Farmar,-0.14259046644229628,-0.08379779661427311,50.625,-0.29511167380745285,0.06872341075088345,61.25000000000001,ORB%
Jordan Hawkins,0.1749071400113037,-0.2990632163434887,34.375,0.058485893316787226,-0.18264196964897222,40.625,ORB%
Jordan Poole,0.10588172175324048,-1.1576857963725036,0.625,0.03692006981095409,-1.0887241444302174,0.625,ORB%
Josh Christopher,0.11547674666224349,0.7785625514699531,91.875,0.17243661091772877,0.7216026872144679,91.875,ORB%
Josh Hart,0.19880422016607618,0.05970766107528119,63.125,0.16669852645843844,0.09181335478291894,63.74999999999999,ORB%
Josh Okogie,0.15504190743402846,-0.03353044850729256,54.37499999999999,0.3487560576624381,-0.2272445987357022,37.5,ORB%
Jrue Holiday,0.05901694505432178,0.6719166696599657,89.375,0.06108145701261272,0.6698521577016747,90.0,ORB%
KJ Simpson,-0.1666341539529542,0.5774245231434391,83.75,-0.22226331012607387,0.6330536793165588,86.875,ORB%
Kam Jones,0.049977430624649405,-0.2923147558800915,35.0,-0.050587218633214526,-0.19175010662222758,39.375,ORB%
Kasparas JakuÄionis,0.0695835111801811,0.6578420095097895,88.125,0.07248652832135735,0.6549389923686133,87.5,ORB%
Kendall Marshall,-0.02856630817453555,-0.7058402506903164,7.5,-0.10230091637934956,-0.6321056424855024,14.374999999999998,ORB%
Kentavious Caldwell-Pope,0.21491323588107486,-0.22703785524785786,41.875,0.1498089936931808,-0.1619336130599638,43.75,ORB%
Keon Johnson,0.13534037864514661,0.4696466188703293,80.625,0.05500538563729001,0.549981611878186,83.75,ORB%
Klay Thompson,0.21210669605059607,-0.6328573048478241,12.5,0.21731632176783985,-0.6380669305650679,13.125,ORB%
Kobi Simmons,0.038350920537875935,-0.006586226048287236,57.49999999999999,-0.03556060574113812,0.06732530023072682,60.62499999999999,ORB%
Kris Dunn,-0.04594943899210064,0.0063777947718091366,60.0,0.12100893688928384,-0.16058058110957535,44.375,ORB%
Ky Bowman,-0.2277758995613901,0.3865740280563055,76.875,-0.10518382282399727,0.26398195131891267,73.125,ORB%
Kyrie Irving,-0.10473116918972993,0.3422060342687655,75.0,-0.20296398939689986,0.44043885447593545,79.375,ORB%
Landry Shamet,0.22485055036827623,-0.8429740588216723,2.5,0.11187104710993567,-0.7299945555633317,8.125,ORB%
Luke Kennard,0.20452707348079585,-0.5128831591188601,20.0,-0.012340343177010167,-0.29601574246105405,31.874999999999996,ORB%
Luther Head,0.12558637393481512,-0.5869179127376735,15.0,-0.025541169583670927,-0.43579036921918746,21.25,ORB%
Malaki Branham,0.12959040773218855,-0.5081743402212809,20.625,0.2377512383070905,-0.6163351707961828,15.625,ORB%
Malcolm Brogdon,0.1704854931441302,0.14885342069811403,65.625,0.2873867257251639,0.03195218811708034,60.0,ORB%
Manny Harris,0.15519500553404553,0.7293208477209726,91.25,0.07168962498849346,0.8128262282665246,93.125,ORB%
MarShon Brooks,0.21911384350989055,0.8176348112760365,93.125,0.43732829536585704,0.59942035942007,86.25,ORB%
Marcus Sasser,-0.19145157345300162,-0.3332835416113276,31.25,-0.09727121967614102,-0.4274638953881882,22.5,ORB%
Marcus Smart,-0.009137740857172127,0.6327115276890504,86.25,0.14676140304654572,0.4768123837853325,80.625,ORB%
Marcus Thornton,0.16198544415884553,0.9705466328817622,95.625,-0.030347167692361038,1.1628792447329688,97.5,ORB%
Marcus Williams,-0.053669096254854276,-0.05733770906032343,53.125,-0.008278231403098774,-0.10272857391207893,51.87500000000001,ORB%
Markel Brown,-0.005285447240586577,-0.07923509615530062,51.24999999999999,0.06706582245010267,-0.1515863658459899,45.625,ORB%
Max Christie,0.12002109949001201,-0.6699592949049952,10.0,0.12557482313510576,-0.6755130185500888,10.625,ORB%
Mike Conley,-0.1936693440350987,-0.2437247557026053,40.625,-0.1559350336009497,-0.2814590661367543,33.75,ORB%
Mike Taylor,-0.1698755700656868,0.586667771837128,84.375,-0.07841683111761505,0.4952090328890563,81.25,ORB%
Monta Ellis,0.0034803171761279145,-0.024314644734966515,55.625,-0.2618951705072412,0.2410608429484026,71.875,ORB%
Moses Moody,0.12888709342527474,0.23522298690960033,71.25,0.354918122259872,0.00919195807500306,56.875,ORB%
Nate Wolters,0.02327994901355764,0.011711828122702262,60.62499999999999,-0.15907205469199762,0.1940638318282575,69.375,ORB%
Nickeil Alexander-Walker,0.12475108862393006,-0.5712540616861038,16.875,0.1769922695911813,-0.6234952426533551,15.0,ORB%
