Player,season_end_year,actual_z,predicted_z,residual_z,residual_pct,target
Daniel Ewing,2006,0.06726511468996521,0.0028325512439653366,0.06443256344599987,62.139917695473244,ORB%
Daniel Gibson,2007,0.23513756790899704,-0.14624394360770818,0.3813815115167052,79.01234567901234,ORB%
DantÃ© Exum,2015,-0.4113333111933173,0.14284471545547514,-0.5541780266487925,15.637860082304528,ORB%
Darius Garland,2020,-0.4465029730621738,-0.16107313340199958,-0.2854298396601742,36.21399176954733,ORB%
De'Aaron Fox,2018,-0.23277369005414136,-0.00807200710405636,-0.224701682950085,41.56378600823045,ORB%
De'Anthony Melton,2019,0.3064202007717688,-0.14869928580311118,0.45511948657488,80.65843621399176,ORB%
Dennis SchrÃ¶der,2014,-0.26341206738301254,-0.22356149125378932,-0.039850576129223214,53.086419753086425,ORB%
Dennis Smith Jr.,2018,0.0695558922815502,-0.07567172814148135,0.14522762042303156,66.2551440329218,ORB%
Denzel Valentine,2017,-0.5010280760149806,0.11381821452124069,-0.6148462905362213,12.345679012345679,ORB%
Deron Williams,2006,-0.41728181767845635,0.004065818713658048,-0.42134763639211437,26.337448559670783,ORB%
Derrick Rose,2009,0.7010243911041113,0.017148609665892146,0.6838757814382191,89.7119341563786,ORB%
Devin Booker,2016,-0.48388900212441305,0.2299507756818335,-0.7138397778062465,6.584362139917696,ORB%
Devonte' Graham,2019,-0.433214766608363,-0.21356568704699166,-0.21964907956137134,41.9753086419753,ORB%
Dion Waiters,2013,-0.398635584318384,0.031122227716267103,-0.4297578120346511,25.102880658436217,ORB%
Donovan Mitchell,2018,-0.043817701094334235,-0.03752064386000314,-0.006297057234331098,57.20164609053497,ORB%
Doron Lamb,2013,-0.3566642125000754,0.09288225926836802,-0.4495464717684434,23.045267489711936,ORB%
Drake Powell,2026,-0.6117707903775041,0.2172499355811697,-0.8290207259586738,3.7037037037037033,ORB%
Duane Washington Jr.,2022,-0.936625272440369,-0.12460295135130993,-0.812022321089059,4.11522633744856,ORB%
Dylan Harper,2026,0.31181287242765077,0.2159551546945467,0.09585771773310406,63.78600823045267,ORB%
Elfrid Payton,2015,1.2771993224267384,0.008931667418139048,1.2682676550085994,96.29629629629629,ORB%
Elie Okobo,2019,-0.5564872611717184,-0.060169413756266665,-0.49631784741545176,19.753086419753085,ORB%
Emmanuel Mudiay,2016,-0.27972228768041557,-0.03069678423498827,-0.2490255034454273,39.09465020576132,ORB%
Eric Bledsoe,2011,0.9329717692274603,-0.21254901501966234,1.1455207842471227,95.88477366255144,ORB%
Eric Gordon,2009,-0.322211490493501,0.06093408650504764,-0.3831455769985487,28.80658436213992,ORB%
Eric Maynor,2010,-0.2443769366496331,-0.01758174960371035,-0.22679518704592275,41.1522633744856,ORB%
Ethan Thompson,2026,-0.14997895897492675,0.11205383613254213,-0.2620327951074689,38.2716049382716,ORB%
Frank Jackson,2019,-0.06339728291829697,-0.047955569400914416,-0.01544171351738255,55.144032921810705,ORB%
Frank Ntilikina,2018,-0.006026503302372763,0.04366156711986896,-0.04968807042224172,52.2633744855967,ORB%
Gary Harris,2015,0.29676101903444807,0.07487356012598437,0.2218874589084637,69.54732510288066,ORB%
Gary Neal,2011,-0.4722497939733552,0.09807689550138227,-0.5703266894747374,14.40329218106996,ORB%
George Hill,2009,0.24625288817183907,0.04888231342367372,0.19737057474816536,67.48971193415639,ORB%
Goran DragiÄ,2009,1.7242602727017233,0.041802254600264266,1.682458018101459,98.35390946502058,ORB%
Hamidou Diallo,2019,3.018415081165586,0.1937514923602417,2.824663588805344,100.0,ORB%
Iman Shumpert,2012,0.09642654924840757,0.1532249727623298,-0.056798423513922225,51.440329218106996,ORB%
Immanuel Quickley,2021,-0.1455366126172607,-0.12263465358781189,-0.022901959029448804,54.73251028806584,ORB%
Isaac Okoro,2021,0.45447974069971037,0.16055076044749148,0.2939289802522189,73.66255144032921,ORB%
Isaiah Briscoe,2019,-0.8646684975801067,-0.06406283355796642,-0.8006056640221403,4.526748971193416,ORB%
Isaiah Collier,2025,-0.5112273991014364,0.04814848596322251,-0.559375885064659,15.22633744855967,ORB%
Isaiah Whitehead,2017,-0.03957164422029154,0.07875063786148043,-0.11832228208177197,47.73662551440329,ORB%
JJ Redick,2007,-0.4571511785393525,-0.07447496528672776,-0.38267621325262474,29.218106995884774,ORB%
Ja Morant,2020,0.2260538064457032,-0.10455760713716694,0.33061141358287016,74.8971193415638,ORB%
Ja'Kobe Walter,2025,0.6651400983744631,0.10304161670474757,0.5620984816697155,85.18518518518519,ORB%
Jabari Brown,2015,-1.0104900521552724,0.07068901804297974,-1.0811790701982522,0.823045267489712,ORB%
Jaden Hardy,2023,-0.42142249822056504,0.0016074648194379995,-0.42302996304000307,25.925925925925924,ORB%
Jaden Ivey,2023,0.2639945534829979,0.06467599601573501,0.19931855746726287,67.90123456790124,ORB%
Jahmai Mashack,2026,0.2194545061471354,0.10649830404864628,0.11295620209848913,64.19753086419753,ORB%
Jalen Brunson,2019,-0.3715785193266854,-0.09879114445483414,-0.27278737487185123,37.4485596707819,ORB%
Jalen Green,2022,-0.3585206712069272,0.13677731897963932,-0.4952979901865665,20.5761316872428,ORB%
Jalen Suggs,2022,-0.16581913746244656,0.12936880947925128,-0.2951879469416978,35.390946502057616,ORB%
Jalen Williams,2023,0.47818738214036133,0.24104410636290657,0.23714327577745475,71.19341563786008,ORB%
Jamal Murray,2017,0.21679304011009123,0.09440754351612228,0.12238549659396895,65.4320987654321,ORB%
Jamal Shead,2025,-0.4476399668054418,-0.20582885934032968,-0.24181110746511214,39.50617283950617,ORB%
James Harden,2010,0.4440775701954873,0.2390614230027706,0.2050161471927167,68.72427983539094,ORB%
Jared McCain,2025,-0.35225881836145,0.021548908391929866,-0.37380772675337987,30.04115226337449,ORB%
Jarrett Jack,2006,-0.6375304233004662,0.027694963734057856,-0.665225387034524,9.053497942386832,ORB%
Jase Richardson,2026,0.4041712387081664,-0.17587907644187445,0.5800503151500409,85.59670781893004,ORB%
Javaris Crittenton,2008,0.9932223789742777,0.17990862099050053,0.8133137579837771,92.5925925925926,ORB%
Javon Small,2026,0.6812463375497128,-0.20901197981294314,0.8902583173626559,94.23868312757202,ORB%
Jaylen Clark,2025,0.6651400983744631,0.17869922026158822,0.48644087811287484,82.3045267489712,ORB%
Jeff Teague,2010,-0.9328314434947533,-0.054942271041294774,-0.8778891724534585,2.4691358024691357,ORB%
Jeremiah Fears,2026,-0.05762059269441116,0.00496674499342517,-0.06258733768783632,51.028806584362144,ORB%
Jerian Grant,2016,-0.0755555732364181,0.057640125554930546,-0.13319569879134863,46.913580246913575,ORB%
Jerryd Bayless,2009,-0.549597241959637,-0.06443460760225436,-0.4851626343573826,21.39917695473251,ORB%
Jimmer Fredette,2012,-0.467766714074104,-0.14392995244487353,-0.3238367616292305,33.744855967078195,ORB%
Jodie Meeks,2010,-0.5886041900721933,0.10659480717700202,-0.6951989972491953,8.23045267489712,ORB%
John Jenkins,2013,-0.06286460977191576,0.09692854827720285,-0.1597931580491186,44.44444444444444,ORB%
John Wall,2011,-0.4722497939733552,0.006744667507360214,-0.4789944614807154,22.22222222222222,ORB%
Jordan Clarkson,2015,0.8414489653634983,0.1367235155239274,0.704725449839571,90.94650205761316,ORB%
Jordan Crawford,2011,0.44841260950304096,0.10486985371346935,0.3435427557895716,76.13168724279835,ORB%
Jordan Farmar,2007,-0.22638826305656942,-0.13079847745792295,-0.09558978559864648,49.794238683127574,ORB%
Jordan Hawkins,2024,-0.12415607633218508,0.1913704029009016,-0.3155264792330867,34.15637860082305,ORB%
Jordan Poole,2020,-1.0518040746192632,0.13633459897991743,-1.1881386735991806,0.411522633744856,ORB%
Josh Christopher,2022,0.8940392981321966,0.11098792050391085,0.7830513776282858,92.18106995884774,ORB%
Josh Hart,2018,0.2585118812413574,0.21333262588370652,0.045179255357650855,61.31687242798354,ORB%
Josh Okogie,2019,0.12151145892673591,0.1050476417561287,0.016463817170607215,59.67078189300411,ORB%
Josh Richardson,2016,0.06055556972624698,0.18205582965881825,-0.12150025993257127,47.325102880658434,ORB%
JosÃ© CalderÃ³n,2006,-0.1529834909320446,0.03050324147068224,-0.18348673240272684,44.03292181069959,ORB%
Jrue Holiday,2010,0.7309336147142874,0.09632912697109061,0.6346044877431968,88.06584362139918,ORB%
Juan Carlos Navarro,2008,-0.3863006540694189,0.05791348636336443,-0.4442141404327833,23.456790123456788,ORB%
KJ Simpson,2025,0.4107903691904849,-0.12210423650156674,0.5328946056920516,84.36213991769547,ORB%
Kam Jones,2026,-0.24233732525544213,0.11086701058079843,-0.35320433583624056,31.275720164609055,ORB%
Kasparas JakuÄionis,2026,0.7274255206899707,0.11354336534555728,0.6138821553444134,86.83127572016461,ORB%
Keaton Wallace,2025,-0.6384022636934256,-0.08474895619494298,-0.5536533074984826,16.049382716049383,ORB%
Kelenna Azubuike,2007,0.8120448566159549,0.17971595888568234,0.6323288977302726,87.65432098765432,ORB%
Kendall Marshall,2013,-0.734406558864852,0.03726642162231949,-0.7716729804871715,4.938271604938271,ORB%
Kendrick Nunn,2020,-0.7155256848653246,-0.016856752804345294,-0.6986689320609794,7.818930041152264,ORB%
Kentavious Caldwell-Pope,2014,-0.012124619366783062,0.18271738007704608,-0.19484199944382913,43.62139917695473,ORB%
Keon Johnson,2022,0.6049869975154759,0.1748643036553642,0.4301226938601117,79.83539094650206,ORB%
Keyonte George,2024,-0.545818222366021,0.07724070698347003,-0.623058929349491,11.934156378600823,ORB%
Killian Hayes,2021,-0.7455529659342319,0.014615453153538722,-0.7601684190877707,5.761316872427984,ORB%
Kira Lewis Jr.,2021,-0.545547514828575,-0.22116661946939703,-0.32438089535917797,33.33333333333333,ORB%
Klay Thompson,2012,-0.4207506087972281,0.214019062658436,-0.6347696714556641,10.2880658436214,ORB%
Kobi Simmons,2018,0.03176469448958871,0.1361496497524103,-0.1043849552628216,48.559670781893004,ORB%
Kris Dunn,2017,-0.03957164422029154,-0.04523906490943202,0.00566742068914048,58.43621399176955,ORB%
Ky Bowman,2020,0.15879812849491542,-0.19251945324722305,0.35131758174213845,76.95473251028807,ORB%
Kyrie Irving,2012,0.23747486507903562,-0.10098059962771219,0.3384554647067478,75.7201646090535,ORB%
Landry Shamet,2019,-0.618123508453396,0.24452834505961482,-0.8626518535130109,3.292181069958848,ORB%
Langston Galloway,2015,0.242292224401543,-0.1879641876238937,0.4302564120254367,80.24691358024691,ORB%
Lonzo Ball,2018,0.6742150569529333,0.17111028606585316,0.5031047708870802,83.1275720164609,ORB%
Luke Kennard,2018,-0.3083560856380642,0.17924699831120658,-0.48760308394927077,20.98765432098765,ORB%
Luther Head,2006,-0.4613315388028584,0.05302498602759245,-0.5143565248304508,18.51851851851852,ORB%
Malachi Flynn,2021,-0.6955516031578176,-0.2117324406410878,-0.48381916251672985,21.810699588477366,ORB%
Malaki Branham,2023,-0.3785839324890924,0.1454207297254329,-0.5240046622145254,17.28395061728395,ORB%
Malcolm Brogdon,2017,0.3193389138422442,0.13635106941588296,0.18298784442636126,67.07818930041152,ORB%
Malcolm Delaney,2017,-0.6548468866132103,-0.0532040611512445,-0.6016428254619658,12.757201646090536,ORB%
Malik Monk,2018,-0.5351032723898329,-0.006621916040819041,-0.5284813563490138,16.872427983539097,ORB%
Manny Harris,2011,0.8845158532550181,0.1852053539685752,0.699310499286443,90.53497942386831,ORB%
MarShon Brooks,2012,1.036748654785927,0.1933655471656922,0.8433831076202348,93.4156378600823,ORB%
Marcelo Huertas,2016,0.06055556972624698,-0.0532107803341767,0.11376635006042368,64.60905349794238,ORB%
Marcus Sasser,2024,-0.5247351150643292,-0.2273635886366737,-0.2973715264276555,34.97942386831276,ORB%
Marcus Smart,2015,0.6235737868318783,-0.005046253328520976,0.6286200401603992,87.24279835390946,ORB%
Marcus Thornton,2010,1.1325320770406078,0.1268908979175288,1.005641179123079,95.06172839506173,ORB%
Marcus Williams,2007,-0.11100680531517773,-0.007851085279609284,-0.10315572003556844,48.971193415637856,ORB%
Mario Chalmers,2009,-0.435904366226569,-0.07382280716422449,-0.3620815590623445,30.864197530864196,ORB%
Markel Brown,2015,-0.08452054339588722,-0.00020773021460666202,-0.08431281318128056,50.20576131687243,ORB%
Matisse Thybulle,2020,1.0331219418551554,0.21692925272074895,0.8161926891344065,93.00411522633745,ORB%
Matthew Dellavedova,2014,-0.012124619366783062,0.00105546575966773,-0.013180085126450792,55.96707818930041,ORB%
Max Christie,2023,-0.5499381954149831,0.1652523359313212,-0.7151905313463043,6.172839506172839,ORB%
Mike Conley,2008,-0.437394099737704,-0.19687713500169962,-0.24051696473600437,39.91769547325103,ORB%
Mike Taylor,2009,0.4167922017714413,-0.14202202581843731,0.5588142275898786,84.77366255144034,ORB%
MiloÅ¡ TeodosiÄ,2018,-0.3083560856380642,0.09743969587842566,-0.4057957815164899,27.572016460905353,ORB%
Monta Ellis,2006,-0.020834327558838604,0.004810664689346288,-0.02564499224818489,53.90946502057613,ORB%
Moses Moody,2022,0.36411008033487513,0.16404003721178625,0.20007004312308888,68.3127572016461,ORB%
Nando De Colo,2013,0.3148777365928608,0.17227052251199165,0.14260721408086913,65.84362139917695,ORB%
Nate Wolters,2014,0.034991777136259936,0.0590683724357979,-0.024076595299537963,54.32098765432099,ORB%
Nick Smith Jr.,2024,-0.1452391836338768,-0.09026982191889574,-0.05496936171498107,51.85185185185185,ORB%
Nickeil Alexander-Walker,2020,-0.4465029730621738,0.18050329315009564,-0.6270062662122694,11.11111111111111,ORB%
Nique Clifford,2026,0.31181287242765077,0.24624911117271944,0.06556376125493132,62.55144032921811,ORB%
Nolan Smith,2012,0.47255539146341546,-0.13641179358340474,0.6089671850468202,86.41975308641975,ORB%
Nolan TraorÃ©,2026,-0.8888458892190507,-0.016402360416350723,-0.8724435288027,2.880658436213992,ORB%
Norman Powell,2016,0.3327778556515768,0.00017687752861519912,0.33260097812296163,75.30864197530865,ORB%
Norris Cole,2012,-0.23268618768972413,-0.1270183397074053,-0.10566784798231882,48.148148148148145,ORB%
O.J. Mayo,2009,-0.15167217689389884,0.2637888122862207,-0.41546098918011953,27.160493827160494,ORB%
Ochai Agbaji,2023,0.47818738214036133,0.20804871808571698,0.2701386640546444,72.0164609053498,ORB%
Orien Greene,2006,0.41966288368518107,0.06780689646136794,0.3518559872238131,77.36625514403292,ORB%
Orlando Johnson,2013,0.5667059675027118,0.1785690487818799,0.38813691872083195,79.42386831275721,ORB%
Pablo Prigioni,2013,0.5667059675027118,-0.033035844597243576,0.5997418120999555,86.0082304526749,ORB%
Patrick Beverley,2013,2.03570398114351,-0.17468106433693836,2.2103850454804483,99.1769547325103,ORB%
Payton Pritchard,2021,0.20447292681763904,-0.15636734163339727,0.36084026845103634,77.77777777777779,ORB%
Pelle Larsson,2025,0.15644064000650662,0.17112871904540608,-0.01468807903889946,55.55555555555556,ORB%
Quentin Grimes,2022,0.36411008033487513,0.08329709446416708,0.280812985870708,72.8395061728395,ORB%
R.J. Hampton,2021,0.45447974069971037,0.08675447111127577,0.3677252695884346,78.60082304526749,ORB%
Rajon Rondo,2007,1.100498500969434,-0.19675410159876477,1.2972526025681987,96.70781893004116,ORB%
Randy Foye,2007,0.23513756790899704,0.0675519567262623,0.16758561118273474,66.66666666666666,ORB%
Rashad McCants,2006,-0.0648840486832406,0.08601634233601496,-0.15090039101925556,45.267489711934154,ORB%
Raul Neto,2016,-0.5519445736057454,-0.13230136526046732,-0.41964320834527813,26.74897119341564,ORB%
Ray McCallum,2014,-0.059241015869826066,-0.06423961284131374,0.004998596971487676,57.61316872427984,ORB%
Raymond Felton,2006,0.33156344143637706,-0.15356739695893196,0.485130838395309,81.89300411522635,ORB%
Reed Sheppard,2025,-0.2886713860654554,-0.146550436672724,-0.1421209493927314,46.09053497942387,ORB%
Reggie Jackson,2012,0.37852318090966347,-0.14864836115515148,0.527171542064815,83.53909465020575,ORB%
Ricky Rubio,2012,-0.467766714074104,-0.12815790898652601,-0.33960880508757796,31.68724279835391,ORB%
Rob Dillingham,2025,-0.2886713860654554,-0.14203951130092624,-0.14663187476452916,45.67901234567901,ORB%
Rodney McGruder,2017,1.5498893986280817,0.11271396839990913,1.4371754302281725,97.53086419753086,ORB%
Rodney Stuckey,2008,0.4822879222914271,0.13646672819932518,0.3458211940921019,76.5432098765432,ORB%
Roko UkiÄ,2009,0.6441779532375772,0.1437151624918755,0.5004627907457018,82.71604938271605,ORB%
Ron Baker,2017,-0.3472092654167509,0.09302683823475602,-0.4402361036515069,23.868312757201647,ORB%
